title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Father Hope,movie,"""Comedy""",2002,tt0328230,5.4,245,"""AT, CH, DE, IT, SM, VA"""
Father of the Flying Car,movie,"""Documentary""",2022,tt3281464,8,7,"""GB, GG, IE"""
FBI: Critical Incident,tv,"""Crime""",2001,tt0307747,8.8,12,"""AG, AU, BB, BM, BS, BZ, CA, CM, GH, GI, GY, IE, JM, KE, LC, MW, NG, NZ, PG, PH, TC, TT, UG, ZA"""
Fear Factor,tv,"""Game-Show""",2002,tt0367323,3.6,36,"""CA, GB, US"""
Fear Falls,movie,"""Thriller""",2022,tt19720418,4.1,22,"""GB, GG, IE, US"""
Fear Island,movie,"""Horror, Mystery, Thriller""",2009,tt1109583,5.1,4448,"""BF, CD, MG, ML, SN"""
Fear No Evil,movie,"""Horror""",1981,tt0082367,4.7,1841,"""CH, ES, LI, US"""
Fear the Walking Dead,tv,"""Drama, Horror, Sci-Fi""",2015,tt3743822,6.8,147672,"""AD, AE, AL, AO, AR, AT, BA, BE, BF, BG, BH, BO, BR, BY, BZ, CA, CD, CH, CI, CL, CM, CO, CR, CZ, DE, DK, DZ, EC, EE, EG, ES, FI, FR, GB, GG, GH, GI, GR, GT, GY, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IT, JO, JP, KE, KR, KW, LB, LI, LT, LV, LY, MA, MC, MD, MG, MK, ML, MT, MW, MX, MY, MZ, NE, NG, NI, NL, NO, OM, PA, PE, PF, PG, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SE, SG, SI, SK, SN, SV, TD, TH, TN, TR, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"""
Feet of Death,movie,"""Horror, Thriller""",2024,tt29304996,4,158,"""GB, GG, IE"""
Fellini: I'm a Born Liar,movie,"""Biography, Documentary""",2002,tt0314062,7,996,"""IT, SM, VA"""
Fertile Floods: Croatia's Wetlands,movie,"""Documentary""",2018,tt11858790,6.9,16,"""US"""
Fertile Ground,movie,"""Horror""",2011,tt1515199,4.5,3224,"""BR"""
Fields of War,movie,"""Drama""",2017,tt7522058,7.6,35,"""CA, GB, GG, IE, US"""
Fierce Light: When Spirit Meets Action,movie,"""Documentary""",2008,tt1043845,6.8,134,"""AG, BB, BS, BZ, CM, GH, GY, JM, KE, MW, NG, TT, UG"""
Fifty Shades of Grey,movie,"""Drama, Romance, Thriller""",2015,tt2322441,4.2,341235,"""CA, DO, FR, RO, SN"""
Fight Ring,movie,"""Action""",2009,tt0841103,4.1,65,"""BM, GH, GI, IE, KE, LC, NG, NZ, TC, UG"""
Fight to Win,movie,"""Action, Comedy, Drama""",1987,tt0165776,4.8,249,"""CH, LI"""
Fighting Caravans,movie,"""Western""",1931,tt0021861,5.7,741,"""US"""
Fighting Delinquents,movie,"""Action, Crime, Drama""",1960,tt0054008,6.5,113,"""JP"""
Fighting Tommy Riley,movie,"""Drama, Mystery, Romance""",2004,tt0366444,6.5,842,"""ES"""
Film Stars Don't Die in Liverpool,movie,"""Biography, Drama, Romance""",2017,tt5711148,6.7,10840,"""AD, FR, IT, MC, SM, VA"""
